site_id,time_index,vehicle_group,count,time_label
4,1,BUS,0,07:15
4,1,CAR,104,07:15
4,1,HGV,23,07:15
4,2,ALL,127,07:30
4,2,BUS,0,07:30
4,2,CAR,111,07:30
4,2,HGV,16,07:30
4,3,ALL,124,07:45
4,3,BUS,0,07:45
4,3,CAR,109,07:45
4,3,HGV,15,07:45
4,4,ALL,130,08:00
4,4,BUS,0,08:00
4,4,CAR,109,08:00
4,4,HGV,21,08:00
4,5,ALL,131,08:15
4,5,BUS,0,08:15
4,5,CAR,121,08:15
4,5,HGV,10,08:15
4,6,ALL,155,08:30
4,6,BUS,0,08:30
4,6,CAR,146,08:30
4,6,HGV,9,08:30
4,7,ALL,135,08:45
4,7,BUS,0,08:45
4,7,CAR,122,08:45
4,7,HGV,13,08:45
4,8,ALL,155,09:00
4,8,BUS,0,09:00
4,8,CAR,135,09:00
4,8,HGV,20,09:00
4,9,ALL,123,09:15
4,9,BUS,0,09:15
4,9,CAR,107,09:15
4,9,HGV,16,09:15
4,10,ALL,130,09:30
4,10,BUS,0,09:30
4,10,CAR,114,09:30
4,10,HGV,16,09:30
4,11,ALL,128,09:45
4,11,BUS,0,09:45
4,11,CAR,103,09:45
4,11,HGV,25,09:45
4,12,ALL,114,10:00
4,12,BUS,1,10:00
4,12,CAR,96,10:00
4,12,HGV,17,10:00
4,13,ALL,140,10:15
4,13,BUS,0,10:15
4,13,CAR,118,10:15
4,13,HGV,22,10:15
4,14,ALL,89,10:30
4,14,BUS,0,10:30
4,14,CAR,76,10:30
4,14,HGV,13,10:30
4,15,ALL,141,10:45
4,15,BUS,0,10:45
4,15,CAR,112,10:45
4,15,HGV,29,10:45
4,16,ALL,120,11:00
4,16,BUS,0,11:00
4,16,CAR,95,11:00
4,16,HGV,25,11:00
4,17,ALL,150,11:15
4,17,BUS,0,11:15
4,17,CAR,116,11:15
4,17,HGV,34,11:15
4,18,ALL,123,11:30
4,18,BUS,0,11:30
4,18,CAR,93,11:30
4,18,HGV,30,11:30
4,19,ALL,128,11:45
4,19,BUS,0,11:45
4,19,CAR,100,11:45
4,19,HGV,28,11:45
4,20,ALL,129,12:00
4,20,BUS,0,12:00
4,20,CAR,103,12:00
4,20,HGV,26,12:00
4,21,ALL,129,12:15
4,21,BUS,0,12:15
4,21,CAR,105,12:15
4,21,HGV,24,12:15
4,22,ALL,136,12:30
4,22,BUS,0,12:30
4,22,CAR,111,12:30
4,22,HGV,25,12:30
4,23,ALL,139,12:45
4,23,BUS,0,12:45
4,23,CAR,112,12:45
4,23,HGV,27,12:45
4,24,ALL,123,13:00
4,24,BUS,0,13:00
4,24,CAR,93,13:00
4,24,HGV,30,13:00
4,25,ALL,126,13:15
4,25,BUS,0,13:15
4,25,CAR,106,13:15
4,25,HGV,20,13:15
4,26,ALL,113,13:30
4,26,BUS,0,13:30
4,26,CAR,89,13:30
4,26,HGV,24,13:30
4,27,ALL,117,13:45
4,27,BUS,0,13:45
4,27,CAR,100,13:45
4,27,HGV,17,13:45
4,28,ALL,132,14:00
4,28,BUS,0,14:00
4,28,CAR,112,14:00
4,28,HGV,20,14:00
4,29,ALL,129,14:15
4,29,BUS,0,14:15
4,29,CAR,111,14:15
4,29,HGV,18,14:15
4,30,ALL,143,14:30
4,30,BUS,0,14:30
4,30,CAR,110,14:30
4,30,HGV,33,14:30
4,31,ALL,109,14:45
4,31,BUS,1,14:45
4,31,CAR,87,14:45
4,31,HGV,21,14:45
4,32,ALL,118,15:00
4,32,BUS,0,15:00
4,32,CAR,94,15:00
4,32,HGV,24,15:00
4,33,ALL,102,15:15
4,33,BUS,0,15:15
4,33,CAR,88,15:15
4,33,HGV,14,15:15
4,34,ALL,103,15:30
4,34,BUS,0,15:30
4,34,CAR,87,15:30
4,34,HGV,16,15:30
4,35,ALL,120,15:45
4,35,BUS,0,15:45
4,35,CAR,99,15:45
4,35,HGV,21,15:45
4,36,ALL,135,16:00
4,36,BUS,0,16:00
4,36,CAR,118,16:00
4,36,HGV,17,16:00
4,37,ALL,121,16:15
4,37,BUS,0,16:15
4,37,CAR,105,16:15
4,37,HGV,16,16:15
4,38,ALL,109,16:30
4,38,BUS,0,16:30
4,38,CAR,100,16:30
4,38,HGV,9,16:30
4,39,ALL,129,16:45
4,39,BUS,0,16:45
4,39,CAR,119,16:45
4,39,HGV,10,16:45
4,40,ALL,128,17:00
4,40,BUS,0,17:00
4,40,CAR,112,17:00
4,40,HGV,16,17:00
4,41,ALL,113,17:15
4,41,BUS,0,17:15
4,41,CAR,109,17:15
4,41,HGV,4,17:15
4,42,ALL,118,17:30
4,42,BUS,0,17:30
4,42,CAR,113,17:30
4,42,HGV,5,17:30
4,43,ALL,115,17:45
4,43,BUS,0,17:45
4,43,CAR,108,17:45
4,43,HGV,7,17:45
4,44,ALL,119,18:00
4,44,BUS,0,18:00
4,44,CAR,113,18:00
4,44,HGV,6,18:00
